step,mreturn
500,-1478.2459967973978
1000,-1413.2202800025511
1500,-1588.9355301665605
2000,-1512.9436922008194
2500,-1259.4572548014362
3000,-1043.5651089321939
3500,-1128.003425005059
4000,-729.824178451265
4500,-933.6374353211775
5000,-182.42589132719155
5500,-168.59224947911707
6000,-176.0275196647163
6500,-90.01645283816113
7000,-528.915149402072
7500,-115.60372216037926
8000,-176.48517241823077
8500,-95.93034724811021
9000,-190.7649480718755
9500,-182.82914874304373
10000,-218.3270971312616
10500,-150.11108828486266
11000,-222.89983706112997
11500,-153.5775557419234
12000,-135.3181290046041
12500,-165.40590897753714
13000,-152.7629981902387
13500,-121.20768119992559
14000,-146.19770186003763
14500,-140.20085168961572
15000,-164.78722144916816
